name,Year of production,Condition,Reference number,Scope of delivery,Location,Case area(mm2),price($),Case material_Aluminum,Case material_Gold/Steel,Case material_Palladium,Case material_Platinum,Case material_Red gold,Case material_Rose gold,Case material_Silver,Case material_Steel,Case material_White gold,Case material_Yellow gold,Movement_Automatic,Movement_Manual winding,Movement_Quartz
18,2014,6,616,2,247,1526.0,114950.0,False,False,False,False,False,False,False,True,False,False,True,False,False
12,1970,6,84,0,259,53092.91584566751,7912.0,False,False,False,False,False,False,False,False,True,False,False,True,False
18,2018,1,631,2,259,1526.0,72811.0,False,False,False,False,False,False,False,False,True,False,True,False,False
12,2021,5,713,3,228,705.5999999999999,39000.0,False,False,False,False,False,True,False,False,False,False,False,True,False
6,2021,3,311,2,247,,75202.0,False,False,False,False,False,False,False,False,True,False,True,False,False
1,2022,3,314,2,247,,65500.0,False,False,False,False,False,False,False,True,False,False,True,False,False
6,1990,1,174,0,3,,12485.0,False,False,False,False,False,False,False,False,True,False,False,True,False
18,2023,6,641,2,259,1526.0,123133.0,False,False,False,False,False,False,False,True,False,False,True,False,False
4,2022,6,313,2,27,,128059.0,False,False,False,False,False,False,False,False,True,False,True,False,False
24,2023,3,532,2,247,,63346.0,False,False,False,False,False,True,False,False,False,False,True,False,False
4,2024,3,521,2,195,,88000.0,False,False,False,False,False,False,False,True,False,False,True,False,False
12,2023,6,576,0,228,,26775.0,False,False,False,False,False,False,False,False,True,False,False,True,False
2,2023,3,368,2,253,,79900.0,False,False,False,False,False,True,False,False,False,False,True,False,False
1,2009,6,333,2,247,,39500.0,False,False,False,False,False,False,False,False,True,False,True,False,False
18,2016,5,681,2,208,,121209.0,False,False,False,False,False,True,False,False,False,False,True,False,False
18,2010,6,741,0,208,,136849.0,False,False,False,False,False,True,False,False,False,False,True,False,False
1,2022,6,584,2,28,,61134.0,False,False,False,False,False,True,False,False,False,False,True,False,False
8,2014,6,225,2,70,,83539.0,False,False,False,False,False,False,False,False,True,False,True,False,False
28,2023,5,665,2,204,,147311.0,False,False,False,True,False,False,False,False,False,False,True,False,False
4,2023,3,497,2,28,,93428.0,False,False,False,False,False,False,False,False,True,False,True,False,False
18,2021,6,721,2,259,,75503.0,False,False,False,False,False,False,False,True,False,False,True,False,False
12,2020,0,440,3,125,53092.91584566751,10824.0,False,False,False,False,False,False,False,False,True,False,False,True,False
12,1979,6,343,0,164,1400.0,14646.0,False,False,False,False,False,False,False,False,True,False,False,True,False
18,2016,6,616,2,247,1526.0,99500.0,False,False,False,False,False,False,False,True,False,False,True,False,False
4,2020,6,517,2,247,,61000.0,False,False,False,False,False,False,False,True,False,False,True,False,False
25,2023,1,713,3,259,,31068.0,False,False,False,False,False,False,False,True,False,False,True,False,False
6,2023,5,697,2,195,,43807.0,False,False,False,False,False,False,False,False,True,False,True,False,False
0,2024,1,800,0,204,352.0,20853.0,False,False,False,False,False,False,False,False,False,True,False,True,False
6,1998,1,338,0,259,,11752.0,False,False,False,False,False,False,False,False,False,True,False,True,False
6,1955,1,33,0,171,,31433.0,False,False,False,False,False,False,False,False,False,True,False,True,False
8,2002,0,470,1,259,,62280.0,False,False,False,False,False,False,False,False,True,False,False,True,False
6,2019,6,579,2,133,,34503.0,False,False,False,True,False,False,False,False,False,False,False,True,False
6,2015,6,324,2,27,,37304.0,False,False,False,False,False,True,False,False,False,False,True,False,False
26,1984,1,168,2,259,,14810.0,False,False,False,False,False,False,False,False,False,True,False,False,True
21,1961,6,462,0,80,53092.91584566751,44134.0,False,False,False,False,False,False,False,False,False,True,False,True,False
0,1971,1,800,2,133,,19667.0,False,False,False,False,False,False,False,True,False,False,True,False,False
11,1977,6,101,3,259,1125.0,20590.0,False,False,False,False,False,False,False,False,False,True,True,False,False
26,1944,6,800,0,256,735.0,12615.0,False,False,False,False,False,False,False,False,False,True,False,True,False
18,2022,5,711,2,80,,79940.0,False,False,False,False,False,False,False,True,False,False,True,False,False
24,2015,0,639,2,80,,40515.0,False,False,False,False,False,False,False,False,True,False,True,False,False
27,2013,6,526,2,259,,39865.0,False,False,False,False,False,False,False,False,True,False,True,False,False
1,2022,5,539,2,259,,61256.0,False,False,False,False,False,True,False,False,False,False,True,False,False
6,2013,6,55,0,178,,16787.0,False,False,False,False,False,False,False,False,False,True,True,False,False
27,2012,1,479,0,259,,99563.0,False,False,False,False,False,False,False,False,False,True,True,False,False
11,1980,6,800,0,32,,19821.0,False,False,False,False,False,False,False,False,False,True,False,True,False
21,2016,5,598,2,247,,97980.0,False,False,False,True,False,False,False,False,False,False,True,False,False
18,2021,5,631,2,247,1526.0,87745.0,False,False,False,False,False,False,False,False,True,False,True,False,False
6,2023,3,455,2,177,,35500.0,False,False,False,False,False,False,False,False,True,False,False,True,False
6,1994,6,253,3,65,53092.91584566751,9130.0,False,False,False,False,False,False,False,False,False,True,False,True,False
6,2024,3,457,2,78,,34151.0,False,False,False,False,False,True,False,False,False,False,False,False,True
18,2012,6,722,2,47,,155887.0,False,False,False,False,False,False,False,True,False,False,True,False,False
18,1988,1,109,2,51,,105788.0,False,False,False,False,False,False,False,False,False,True,True,False,False
8,2023,5,750,2,60,,56235.0,False,False,False,False,False,True,False,False,False,False,True,False,False
25,2022,6,288,0,28,756.0,12249.0,False,False,False,False,False,False,False,False,True,False,True,False,False
18,2018,6,616,2,233,1526.0,114000.0,False,False,False,False,False,False,False,True,False,False,True,False,False
6,1997,6,55,0,208,,19485.0,False,False,False,False,False,False,False,False,False,True,False,True,False
26,2019,6,451,0,256,,9250.0,False,False,False,False,False,False,False,False,False,True,False,True,False
1,2023,5,333,2,99,,70154.0,False,False,False,False,False,False,False,False,True,False,True,False,False
1,2007,6,577,3,219,,47950.0,False,False,False,False,False,True,False,False,False,False,True,False,False
21,2022,3,656,2,247,,84000.0,False,False,False,False,False,False,False,False,True,False,True,False,False
1,2023,5,539,2,159,,73495.0,False,False,False,False,False,True,False,False,False,False,True,False,False
11,1974,1,76,3,96,860.0,9465.0,False,False,False,False,False,False,False,False,True,False,False,True,False
6,1993,6,322,2,132,,17668.0,False,False,False,False,False,False,False,False,True,False,True,False,False
4,2022,5,452,2,247,,79800.0,False,False,False,False,False,False,False,False,True,False,True,False,False
4,2024,5,544,2,27,,130175.0,False,False,False,False,False,True,False,False,False,False,True,False,False
18,2012,6,641,2,259,1526.0,105788.0,False,False,False,False,False,False,False,True,False,False,True,False,False
6,2017,6,451,1,259,,14166.0,False,False,False,False,False,False,False,True,False,False,False,True,False
8,2021,6,465,2,247,,61500.0,False,False,False,False,False,False,False,False,True,False,False,True,False
4,2023,5,424,2,133,,57342.0,False,False,False,False,False,False,False,True,False,False,True,False,False
21,2010,5,451,2,208,,75593.0,False,False,False,False,False,True,False,False,False,False,True,False,False
