name,Movement,Case material,Year of production,Condition,Reference number,Scope of delivery,Location,Case area(mm2),price($)
17,0,6,2017,4,551,2,744,1520.53084433746,385000.0
17,0,6,2013,5,526,2,510,1520.0,128059.0
16,0,3,2023,3,494,0,824,1256.6370614359173,1936000.0
6,1,7,1989,5,245,3,645,855.2985999398212,18181.0
4,0,5,2023,4,547,2,824,1398.6684653047118,127500.0
1,0,6,2024,4,356,2,164,1134.1149479459152,87414.0
17,0,5,2023,3,577,2,841,973.1397403759745,79999.0
8,1,6,2020,5,464,2,208,1219.2206929316628,66812.0
1,0,3,2007,5,505,2,208,1134.1149479459152,37861.0
1,0,3,2023,4,482,2,506,1288.2493375126646,59575.0
20,0,6,2024,3,498,2,506,1194.5906065275187,99664.0
1,0,3,2018,4,471,2,435,1256.6370614359173,59000.0
27,0,5,2023,3,542,2,351,1320.2543126711105,69876.0
17,0,5,1972,5,552,2,824,1782.0,115000.0
17,0,0,1980,5,201,2,580,1559.25,178170.0
20,0,6,2007,5,453,3,250,1450.8000000000002,48500.0
17,0,6,2024,4,534,2,127,1256.6370614359173,264471.0
24,0,3,2021,3,592,2,609,1017.8760197630929,48020.0
6,1,7,2022,1,256,0,65,855.2985999398212,13457.0
10,0,7,1988,5,207,2,293,855.2985999398212,18040.0
17,0,6,2018,5,551,2,744,1520.53084433746,440000.0
17,0,3,2024,5,525,0,485,530.929158456675,70397.0
27,0,6,2016,5,541,2,589,1225.4174844408687,81791.0
17,0,5,2013,5,526,2,246,1520.0,95215.0
24,2,6,2004,5,349,0,645,490.8738521234052,12056.0
6,1,7,1969,5,245,2,550,804.247719318987,11041.0
6,0,7,2018,5,396,1,85,989.7980354216342,20824.0
4,0,5,2022,4,462,2,645,1256.6370614359173,69728.0
17,0,3,2022,5,526,2,250,1520.0,103000.0
24,0,5,2023,3,592,2,351,1017.8760197630929,27839.0
1,0,3,2019,5,471,2,824,1256.6370614359173,49500.0
4,0,3,2023,5,460,3,705,1320.2543126711105,107950.0
